pos[0]=new Point(-5.0,-5.0);pos[1]=new Point(5.0,-5.0);pos[2]=new Point(0,5.0); while range is 5.5,  the probability of distance i is (i/range)^2*range
1.4500914288946365 0.6160880807188374  2
-1.5252341739691064 4.06897679573845  2
2.5871434470193013 6.588575447955612  2
5.026384792434616 -4.992528055278181  1
-5.0006283776057545 -5.000094323635964  0
-1.5366403660203043 6.375360046719043  2
3.7527823457475566 -4.71996344481773  1
-3.6278107767849135 -3.3644790896479218  0
-3.6696444630551337 -6.344587804014403  0
-3.956210244102441 -5.303273683135267  0
-7.072245184445399 -3.2962192268151167  0
-5.666623117436725 -2.367164997713908  0
-8.525298268868411 -4.302618670483145  0
-0.5093264776248343 5.109235298134473  2
2.649869982189025 5.401510406252768  2
-4.770273305212914 0.34395813162118216  0
-4.804176392337354 -4.5535586794033245  0
-4.992909866452738 -5.0022033490708075  0
-0.489736562099425 4.071876359257976  2
2.312681849592135 -6.3879711389245255  1
1.9719545264846081 9.921074453659504  2
5.348899985016471 -5.206040180703624  1
0.048330743293438255 5.011314736046239  2
4.374234276692753 -3.730124388692169  1
0.27771860857456493 4.420462941930858  2
-2.383482392695095 3.0263765829617006  2
-9.286643428016557 -3.7296602117584676  0
4.837859289951699 -5.090647409725599  1
2.170038584999764 4.972049892197106  2
-1.7737809747192734 10.611975908135348  2
5.074587791893097 -9.337341462127972  1
-0.11781939622464238 4.743541490013593  2
4.715236901549073 -4.987623145214345  1
-4.7674779273466354 -5.3032145366366334  0
-4.488711143627832 -4.970203233775947  0
4.73285493729124 -4.181966469853828  1
0.0010718059031953973 4.996545867097399  2
2.3133621620618703 9.804117115596068  2
4.928544494005153 -4.899970456151502  1
-1.2912557279773065 3.8529249368082494  2
-0.06441443363088223 5.605044682694942  2
-4.02411842580631 8.097233101792742  2
5.09531968496618 -5.00652801445943  1
5.08054637229996 -4.9742664831257715  1
-4.866431712197464 -5.087491279437615  0
4.9978932294214395 -5.003534785553616  1
-5.260695896854255 -6.132775293852728  0
-4.820601212357456 -4.149135782671477  0
5.125526295516093 -5.155965870417623  1
-1.317357514356798 4.75679665256497  2
0.08975264462519998 5.902911024381581  2
0.1347282729909236 5.287190972405266  2
-7.401562591598316 -10.425457241294751  0
0.015159291721646541 5.011534906839066  2
-1.6531570876811634 -2.7104062362369623  0
-1.787513138823627 4.698502441669716  2
-2.834220511247138 -2.0703208094391097  0
0.06734718635829662 -4.656662389150172  0
-1.2804186776010138 2.5487575923049333  2
6.190231625268998 -7.130635633579228  1
6.222612618485243 -3.7830082836894072  1
0.7854026095286005 7.875670700401296  2
3.8811874037740037 6.118848090203503  2
0.050357669253642795 5.135761687313659  2
5.477585925346352 -7.066191377441111  1
5.016547126114328 -5.023362621672644  1
-1.5983166227218213 -4.130285231548338  0
-3.8674552824876174 -2.4104469899086602  0
-5.110550341589508 -4.945319154280809  0
-5.454329182114995 -4.978187438563787  0
-4.414701653072156 -6.94124603479354  0
5.0372827389149855 -5.038395579956548  1
5.902405223677774 -6.323241521335963  1
-3.009702159156382 -6.8895752815486535  0
-2.7917455636326625 7.101293066967  2
3.5634799324590536 4.830087429746854  2
-4.289065101342172 -10.15748261193605  0
4.406075782373739 -1.6134678332379568  1
-3.7116269484854447 -6.289546133750153  0
5.169835663850091 -4.842878317213671  1
-5.001812847309514 -5.000876178195183  0
0.02106432983395397 5.030711674267699  2
-4.350866501847132 -4.6309552485535885  0
4.200204970403615 -5.126956207250236  1
-1.584646262576987 -5.894192824838285  0
-4.998118003464737 -4.998284412442495  0
4.399367177173834 -5.823455278835863  1
-1.1814239414632686 7.194332817679657  2
0.2121840834709765 -2.7276570609609085  0
4.829038744964629 -5.82493940959324  1
-5.0012933968288715 -5.001150625164112  0
-2.3252563528387458 -3.7493691923712693  0
4.999997054039365 -4.999984415634358  1
6.130483120358562 -3.6221772982535576  1
-4.717741243539766 -5.137403769499008  0
-0.001652546634952651 5.0012177109988  2
5.886504561173419 -4.6274824478763055  1
0.13431721058866325 5.118295618144408  2
2.807382913702125 2.7411022308696005  2
8.899821286172314 -9.541752818694942  1
5.904117824473302 -7.033180545037975  1
0.5657676148318245 4.185269277525215  2
-6.355345912371224 -7.306153654680575  0
-1.884252630535037 5.589102926727483  2
-7.549666012824876 -2.179647262596739  0
0.5587907676056985 9.815779164917434  2
0.023973615451070285 2.1803682831940163  2
-0.31925766096833375 -3.7416086326942377  0
-5.697594287666419 -3.7348180289478154  0
-6.515095129805107 -5.009887649797768  0
